"Event_Description","Event_Source","Host_Name","_time",severity,tag,url
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows 7 (6.1.7601 Service Pack 1)  Network  info:  No.0  'Local Area Connection'  0a-9c-0e-a2-9c-48  'Citrix PV Ethernet Adapter #0' 10.0.2.90",Smc,"host_1","1516913287.000",informational,,
"An update for Symantec Whitelist from LiveUpdate was successfully installed.  The new sequence number is 180125002.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913403.000",informational,,"liveupdate.symantecliveupdate.com"
"A LiveUpdate session ran successfully.  6 update(s) were available. 6 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1516913403.000",informational,error,
"An update for Power Eraser Definitions from LiveUpdate was successfully installed.  The new sequence number is 171207040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913404.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Extended File Attributes and Signatures from LiveUpdate was successfully installed.  The new sequence number is 180123004.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913405.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180125007.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913405.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for SONAR Definitions from LiveUpdate was successfully installed.  The new sequence number is 180122003.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913429.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180125038.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913429.000",informational,,"liveupdate.symantecliveupdate.com"
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows 7 (6.1.7601 Service Pack 1)  Network  info:  No.0  'Local Area Connection'  0a-9c-0e-a2-9c-48  'Citrix PV Ethernet Adapter #0' 10.0.2.90",Smc,"host_1","1516913702.000",informational,,
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows 7 (6.1.7601 Service Pack 1)  Network  info:  No.0  'Local Area Connection'  0a-9c-0e-a2-9c-48  'Citrix PV Ethernet Adapter #0' 10.0.2.90",Smc,"host_1","1516937053.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1516958628.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1516980228.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517001828.000",informational,,
"An update for Intrusion Prevention Signatures from LiveUpdate was successfully installed.  The new sequence number is 180125040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023461.000",informational,,"liveupdate.symantecliveupdate.com"
"A LiveUpdate session ran successfully.  5 update(s) were available. 5 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1517023461.000",informational,error,
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180126009.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023462.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Extended File Attributes and Signatures from LiveUpdate was successfully installed.  The new sequence number is 180125016.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023462.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Symantec Whitelist from LiveUpdate was successfully installed.  The new sequence number is 180126002.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023462.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180126052.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023464.000",informational,,"liveupdate.symantecliveupdate.com"
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517045064.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517066664.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517088265.000",informational,,
"A LiveUpdate session ran successfully.  3 update(s) were available. 3 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1517109880.000",informational,error,
"An update for Intrusion Prevention Signatures from LiveUpdate was successfully installed.  The new sequence number is 180127040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517109880.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180127001.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517109881.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180127039.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517109883.000",informational,,"liveupdate.symantecliveupdate.com"
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517131483.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517153083.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517174683.000",informational,,
"An update for Symantec Whitelist from LiveUpdate was successfully installed.  The new sequence number is 180128002.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517196296.000",informational,,"liveupdate.symantecliveupdate.com"
"A LiveUpdate session ran successfully.  3 update(s) were available. 3 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1517196296.000",informational,error,
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180128007.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517196296.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180128036.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517196300.000",informational,,"liveupdate.symantecliveupdate.com"
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517217900.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517239500.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517261100.000",informational,,
"An update for Intrusion Prevention Signatures from LiveUpdate was successfully installed.  The new sequence number is 180129040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517282716.000",informational,,"liveupdate.symantecliveupdate.com"
"A LiveUpdate session ran successfully.  4 update(s) were available. 4 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1517282716.000",informational,error,
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180129018.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517282716.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Symantec Whitelist from LiveUpdate was successfully installed.  The new sequence number is 180129002.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517282716.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180129068.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517282719.000",informational,,"liveupdate.symantecliveupdate.com"
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517304319.000",informational,,
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows 7 (6.1.7601 Service Pack 1)  Network  info:  No.0  'Local Area Connection'  0a-9c-0e-a2-9c-48  'Citrix PV Ethernet Adapter #0' 10.0.2.90",Smc,"host_1","1517319444.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{B6DC6C8F-46FA-40c7-A806-B669BE1D2D19}/180104052/Full.zip",SYLINK,"host_1","1517320462.000",informational,,"server_1(10.17.1.47):443"
"An update for Submission Control Thresholds was successfully installed.  The new sequence number is 180104052.","LiveUpdate Manager","host_1","1517320462.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/TempCache/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180129068/xdelta180129068_To_180130005.dax",SYLINK,"host_1","1517320658.000",informational,,"server_1(10.17.1.47):443"
"An update for Revocation Data was successfully installed.  The new sequence number is 180130005.","LiveUpdate Manager","host_1","1517320658.000",informational,,
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows Server 2012 R2 (6.3.9600 )  Network  info:  No.0  'Ethernet'  0a-9c-c5-a2-9c-66  'AWS PV Network Device #0' 10.0.1.250",Smc,"host_4","1517321316.000",informational,,
"SONAR has generated an error: code 0: description: Definition Failure","Symantec Endpoint Protection","host_4","1517321328.000",critical,error,
"SONAR has generated an error: code 0: description: Definition Failure","Symantec Endpoint Protection","host_4","1517321328.000",critical,error,
"A LiveUpdate session encountered errors.  7 update(s) were available. 6 update(s) installed successfully. 1 update(s) failed to install.","LiveUpdate Manager","host_4","1517321331.000",medium,error,
"An update for Intrusion Prevention Signatures from LiveUpdate was successfully installed.  The new sequence number is 180129040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_4","1517321331.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Extended File Attributes and Signatures from LiveUpdate was successfully installed.  The new sequence number is 180125016.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_4","1517321332.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate failed to install. Error: Postsession callback failed (208)","LiveUpdate Manager","host_4","1517321332.000",critical,error,
"An update for Power Eraser Definitions from LiveUpdate was successfully installed.  The new sequence number is 171207040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_4","1517321332.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Symantec Whitelist from LiveUpdate was successfully installed.  The new sequence number is 180129002.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_4","1517321332.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for SONAR Definitions from LiveUpdate was successfully installed.  The new sequence number is 180122003.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_4","1517321334.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180130009.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_4","1517321334.000",informational,,"liveupdate.symantecliveupdate.com"
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/TempCache/{67F66706-F04B-4432-9947-F8354949D2A6}/180124018/xdelta180124018_To_180129018.dax",SYLINK,"host_4","1517321422.000",informational,,"server_1(10.17.1.47):443"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) was successfully installed.  The new sequence number is 180129018.","LiveUpdate Manager","host_4","1517321422.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{B6DC6C8F-46FA-40c7-A806-B669BE1D2D19}/180104052/Full.zip",SYLINK,"host_4","1517321423.000",informational,,"server_1(10.17.1.47):443"
"An update for Submission Control Thresholds was successfully installed.  The new sequence number is 180104052.","LiveUpdate Manager","host_4","1517321423.000",informational,,
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows Server 2012 R2 (6.3.9600 )  Network  info:  No.0  'Ethernet'  0a-9c-c5-a2-9c-66  'AWS PV Network Device #0' 10.0.1.250",Smc,"host_4","1517321579.000",informational,,
"Symantec Endpoint Protection Manager is available to provide updates, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517325963.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{67F66706-F04B-4432-9947-F8354949D2A6}/180129018/xdelta180129018_To_180130002.dax",SYLINK,"host_4","1517329214.000",informational,,"server_1(10.17.1.47):443"
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180130017/Full.zip",SYLINK,"host_4","1517329214.000",informational,,"server_1(10.17.1.47):443"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) was successfully installed.  The new sequence number is 180130002.","LiveUpdate Manager","host_4","1517329214.000",informational,,
"An update for Revocation Data was successfully installed.  The new sequence number is 180130017.","LiveUpdate Manager","host_4","1517329214.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{67F66706-F04B-4432-9947-F8354949D2A6}/180129018/xdelta180129018_To_180130002.dax",SYLINK,"host_1","1517329429.000",informational,,"server_1(10.17.1.47):443"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) was successfully installed.  The new sequence number is 180130002.","LiveUpdate Manager","host_1","1517329429.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180130005/xdelta180130005_To_180130017.dax",SYLINK,"host_1","1517329431.000",informational,,"server_1(10.17.1.47):443"
"An update for Revocation Data was successfully installed.  The new sequence number is 180130017.","LiveUpdate Manager","host_1","1517329431.000",informational,,
"Symantec Endpoint Protection Manager is available to provide updates, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_4","1517343173.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180130017/xdelta180130017_To_180130033.dax",SYLINK,"host_1","1517343641.000",informational,,"server_1(10.17.1.47):443"
"An update for Revocation Data was successfully installed.  The new sequence number is 180130033.","LiveUpdate Manager","host_1","1517343641.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180130017/xdelta180130017_To_180130033.dax",SYLINK,"host_4","1517343858.000",informational,,"server_1(10.17.1.47):443"
"An update for Revocation Data was successfully installed.  The new sequence number is 180130033.","LiveUpdate Manager","host_4","1517343858.000",informational,,
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows 7 (6.1.7601 Service Pack 1)  Network  info:  No.0  'Local Area Connection'  0a-9c-0e-a2-9c-48  'Citrix PV Ethernet Adapter #0' 10.0.2.90",Smc,"host_1","1517344516.000",informational,,
"Symantec Endpoint Protection Manager is available to provide updates, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517349835.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180130033/xdelta180130033_To_180130050.dax",SYLINK,"host_4","1517358242.000",informational,,"server_1(10.17.1.47):443"
"An update for Revocation Data was successfully installed.  The new sequence number is 180130050.","LiveUpdate Manager","host_4","1517358242.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://10.17.1.47:443/content/{67F66706-F04B-4432-9947-F8354949D2A6}/180130002/xdelta180130002_To_180130008.dax",SYLINK,"host_1","1517358569.000",informational,,"10.17.1.47:443"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) was successfully installed.  The new sequence number is 180130008.","LiveUpdate Manager","host_1","1517358569.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://10.17.1.47:443/content/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180130033/xdelta180130033_To_180130050.dax",SYLINK,"host_1","1517358570.000",informational,,"10.17.1.47:443"
"An update for Revocation Data was successfully installed.  The new sequence number is 180130050.","LiveUpdate Manager","host_1","1517358570.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{67F66706-F04B-4432-9947-F8354949D2A6}/180130002/xdelta180130002_To_180130008.dax",SYLINK,"host_4","1517358578.000",informational,,"server_1(10.17.1.47):443"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) was successfully installed.  The new sequence number is 180130008.","LiveUpdate Manager","host_4","1517358578.000",informational,,
"Symantec Endpoint Protection Manager is available to provide updates, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_4","1517364773.000",informational,,
"Symantec Endpoint Protection Manager is available to provide updates, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517371435.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://10.17.1.47:443/content/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180130050/xdelta180130050_To_180130068.dax",SYLINK,"host_1","1517372782.000",informational,,"10.17.1.47:443"
"Downloaded new content update from the management server successfully.     Remote file path: https://10.17.1.47:443/content/{0D03AEA1-B630-43F8-828E-F10E80A68B99}/180129040/xdelta180129040_To_180130040.dax",SYLINK,"host_1","1517372782.000",informational,,"10.17.1.47:443"
"An update for Revocation Data was successfully installed.  The new sequence number is 180130068.","LiveUpdate Manager","host_1","1517372782.000",informational,,
"An update for Intrusion Prevention Signatures was successfully installed.  The new sequence number is 180130040.","LiveUpdate Manager","host_1","1517372782.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{0D03AEA1-B630-43F8-828E-F10E80A68B99}/180129040/xdelta180129040_To_180130040.dax",SYLINK,"host_4","1517372859.000",informational,,"server_1(10.17.1.47):443"
"An update for Intrusion Prevention Signatures was successfully installed.  The new sequence number is 180130040.","LiveUpdate Manager","host_4","1517372859.000",informational,,
"Downloaded new content update from the management server successfully.     Remote file path: https://server_1(10.17.1.47):443/content/{810D5A61-809F-49c2-BD75-177F0647D2BA}/180130050/xdelta180130050_To_180130068.dax",SYLINK,"host_4","1517372860.000",informational,,"server_1(10.17.1.47):443"
"An update for Revocation Data was successfully installed.  The new sequence number is 180130068.","LiveUpdate Manager","host_4","1517372860.000",informational,,
"Symantec Endpoint Protection Manager is available to provide updates, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_4","1517386373.000",informational,,
"LiveUpdate started.",,"host_4","1517386995.000",,,
"No updates found for Windows Host Integrity Content 14.0 RU1.",,"host_4","1517387002.000",,,
"No updates found for Symantec Endpoint Protection Manager Content Catalog 11.0.",,"host_4","1517387020.000",,,
"No updates found for AP Portal List 14.0 RU1.",,"host_4","1517387020.000",,,
"No updates found for Intrusion Prevention Signatures Mac 14.0 RU1.",,"host_4","1517387020.000",,,
"No updates found for WSS Traffic Redirection 14.0 RU1 MP1.",,"host_4","1517387020.000",,,
"No updates found for Endpoint Detection and Response 14.0 RU1.",,"host_4","1517387020.000",,,
"No updates found for Extended File Attributes and Signatures 14.0 RU1.",,"host_4","1517387020.000",,,
